0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,4563603.5,-15159906.0,24899200.0,4655863.0,4818765.0,-32272836.0,9379719.0,5542702.5,-6520547.5,49990276.0,1633141.25,-12243408.0,9409970.0,-11323153.0,-6156551.5,-6251588.0,8875118.0,1939966.375,21018140.0,14901660.0,43709648.0,5049935.0,3991890.5,-15067129.0,4088480.75,-22092536.0,64779652.0,912946.875,-4873868.5,11125799.0,8349308.5,12631699.0,30759956.0,26971234.0,11405288.0,-14327168.0,12160770.0,-4313945.5,2914556.75,15527521.0,-12900473.0,59649868.0,76876104.0,5540818.0,10301924.0,3998642.5,-30063982.0,7015040.0,39367328.0,-12893797.0,7790676.0,-15256718.0,-5079060.0,-11321872.0,10989619.0,6885198.5,245247392.0,-3524785.0,11601186.0,-2754870.0,11165708.0,-29953032.0,-24163536.0,-2166943.25,-1974572.0,-12107720.0,17993638.0,35403116.0,3523831.75,122011.1875,309376.90625,1404452.0,-478656.96875,16143047.0,23151750.0,6655034.0,-42240336.0,28937690.0,15093803.0,68627736.0
1,-6834781.0,-3972710.5,21764534.0,-476252.15625,1587444.75,-16286884.0,14490902.0,12747141.0,-9774484.0,27659366.0,1542429.75,-5515826.0,9707441.0,1243684.75,-6053015.5,-27697.115234375,11884294.0,-8426475.0,14867974.0,12800291.0,31061656.0,-928797.8125,4861920.5,-9789706.0,1651387.875,-11922088.0,41352604.0,-4104355.5,-1207357.625,12825883.0,8457713.0,7272564.0,20041722.0,22393598.0,3892417.5,-20447952.0,3897737.75,-13584000.0,5463281.0,8762342.0,-5916688.0,30607162.0,44553536.0,-2596767.0,8750903.0,8790076.0,-20243708.0,10662027.0,26967432.0,-9530267.0,18081742.0,-3155287.5,16355743.0,-9511300.0,11226232.0,8586855.0,139477424.0,-442617.21875,6168617.5,-1479712.25,5992039.0,1206741.25,-17902240.0,-525530.5,-580447.875,-10059092.0,7981916.5,28653330.0,-1122834.375,-2590299.75,6947771.5,751456.0625,781510.9375,2913723.5,5964766.5,9645021.0,-22740030.0,17982366.0,18017566.0,62472004.0
2,5838285.0,4249754.0,26892192.0,2606299.5,25771278.0,-53865204.0,13867661.0,11059304.0,7652933.5,29174380.0,-551190.9375,-14506051.0,14608276.0,-17391778.0,-14822685.0,-10419607.0,8951547.0,-19488456.0,51309876.0,21071342.0,62954632.0,864007.1875,11598549.0,-26245194.0,23618964.0,-19352266.0,102122272.0,-6993499.0,-2062194.375,12182704.0,23877420.0,11189475.0,40076668.0,37730084.0,21384280.0,-1039211.75,6810541.0,-6043342.5,540688.5625,23127204.0,-12904784.0,77728152.0,86696080.0,23419142.0,10595023.0,13250705.0,-31565112.0,23362572.0,40272580.0,-16749295.0,5843546.0,-15923839.0,-20826876.0,-11706732.0,11868773.0,11767874.0,312728800.0,-10237405.0,4236577.0,-5259045.5,21646442.0,-61672632.0,-37137288.0,-27417432.0,1008463.125,-19594804.0,25071678.0,52242912.0,-9876375.0,-10577858.0,9541608.0,6427129.0,-5730002.5,10310357.0,37409556.0,18735614.0,-68147928.0,29548958.0,8893355.0,80963184.0
3,-4048909.5,-1092396.125,8549073.0,3294397.0,2138749.0,-13302562.0,5040694.5,7876924.5,-1453710.0,16693908.0,93371.4921875,-5881548.0,411012.28125,2839249.75,-618295.875,1748025.0,8291680.5,-8216681.5,14565161.0,8847216.0,25300414.0,-3098191.75,1762114.375,-14794335.0,3241245.75,-4529916.5,36157544.0,2860762.5,1487547.375,4514394.5,3427736.5,6974731.5,7398795.0,12122422.0,2947809.5,-6749646.5,3609701.5,-5376871.0,3893508.5,10730023.0,-6442231.0,19435612.0,35599984.0,2827525.0,2298943.25,7828871.5,-1727488.125,6462675.0,7697412.0,-10244302.0,14867844.0,1138347.5,15730029.0,561951.4375,5898454.5,7999570.0,91221024.0,-818739.0625,7249201.5,-2658256.75,3257409.75,7139977.5,-11035361.0,1836163.125,-1466657.75,-8397359.0,2727132.75,13293941.0,-3796180.25,-1465417.875,2360400.75,1543256.5,6421961.5,2798551.5,9831951.0,2865049.75,-11169602.0,13358197.0,8036972.5,33664500.0
4,-14417023.0,-12266561.0,22692640.0,4122023.0,5743654.5,-20715224.0,7780860.5,25872676.0,-4156710.25,35866688.0,-236139.609375,-6345670.5,22890978.0,-11203378.0,-3818013.25,-9936189.0,8959338.0,-10179084.0,27414884.0,18807412.0,41700964.0,945154.125,10898430.0,-20043816.0,5844256.0,-27200182.0,63574296.0,-2440434.0,-2331534.75,15586525.0,10082944.0,7193233.5,27647984.0,28684278.0,9900736.0,-2381592.0,5660626.5,-14082673.0,16138047.0,14383426.0,-8614610.0,60963928.0,59674900.0,16885786.0,10225479.0,7357468.0,-33189926.0,12267980.0,38800600.0,-15580577.0,12607495.0,-16023358.0,-27829788.0,-18793046.0,6121027.0,7587260.5,238989520.0,-11023918.0,13517802.0,-8333571.5,10103571.0,-30067294.0,-27158374.0,-8261594.5,-561631.3125,-13120861.0,11000283.0,34788800.0,3661406.75,1573360.0,-1772761.625,4203189.0,3510492.75,-1083965.875,15875965.0,9234556.0,-54029136.0,24558130.0,20356870.0,60365960.0
5,-13022057.0,7720346.0,38342980.0,2603927.0,10351402.0,2978580.5,5236510.5,13153907.0,-1030255.625,23808612.0,-6436140.0,-9650319.0,31483380.0,-21559916.0,-6537369.5,464029.53125,7858990.0,-9977597.0,29701216.0,14313719.0,57391004.0,267765.40625,3412536.25,-15834035.0,3447211.0,-37197592.0,57872348.0,-13328271.0,852120.375,25689884.0,12040374.0,18563926.0,22168858.0,38704324.0,15248384.0,-12897261.0,19553736.0,-3328073.75,7104208.5,26385034.0,-9388157.0,45926920.0,65430208.0,3016880.0,15179294.0,8923761.0,-31243730.0,9813408.0,47669192.0,-20368278.0,12196428.0,11408076.0,27412012.0,-22302460.0,2835721.25,12912551.0,198093888.0,-24841928.0,10538609.0,-4597515.5,4999141.5,7535770.0,-23917440.0,11248874.0,-3317560.0,165242.484375,10077424.0,41723788.0,-11081959.0,-9985075.0,5647187.5,1688329.25,21188396.0,20892784.0,10800490.0,17806106.0,-11011672.0,31815318.0,36932852.0,70320376.0
6,-8785520.0,4893142.5,22458262.0,5553399.0,16649439.0,-15201610.0,10351708.0,13205066.0,-1708651.5,25782662.0,-2436347.25,-15812958.0,24894676.0,-12140102.0,-10361156.0,-6039596.5,5042185.5,-13217764.0,40553440.0,14823871.0,39310144.0,1006039.375,10417728.0,-14061550.0,11208311.0,-16333128.0,67072448.0,-6542864.5,276869.75,14974429.0,18460774.0,6106326.0,27485602.0,26082922.0,12158175.0,371032.03125,6443899.0,-1724651.75,-632864.3125,17704320.0,-10083866.0,44066668.0,46868976.0,17656208.0,8958125.0,10069486.0,-32118072.0,12297219.0,30830126.0,-13425019.0,11635422.0,-5012848.5,-7203541.0,-13127994.0,6575701.0,10383984.0,180165536.0,-3349118.5,6271155.0,-4616022.5,10086938.0,-9166893.0,-27247424.0,-10747672.0,98539.9375,-8601138.0,9564251.0,38445296.0,-3720556.0,-7815844.0,6625389.5,3807142.0,8375796.0,2419740.0,16718268.0,6089014.5,-36794528.0,18772036.0,16174247.0,45702844.0
7,2427506.0,-2695667.75,14731603.0,93294.1640625,22365516.0,-36580784.0,5493943.5,9805276.0,8768207.0,43320668.0,-6101481.5,-9399560.0,14623041.0,-11847549.0,-8495393.0,-8800264.0,5064139.0,-17489100.0,31512168.0,12623408.0,53298208.0,275733.09375,9323433.0,-20658092.0,8618015.0,-14341309.0,68577512.0,-1619613.5,2849651.5,9084193.0,16126000.0,8572803.0,18900504.0,27394080.0,13838708.0,2454966.75,-460589.5,-23964010.0,391292.3125,16299405.0,-8091409.5,57967428.0,60825708.0,11750675.0,11412728.0,14573265.0,-24798512.0,23900520.0,33936896.0,-14221582.0,14090094.0,-6954101.5,-6670651.5,-11187283.0,8201323.0,6952470.5,217653200.0,-1079007.5,8216734.5,-7675964.5,17681874.0,-25961570.0,-28333582.0,-13193346.0,1831021.625,-10742778.0,15224163.0,31599316.0,-6017632.5,-1946205.75,4419420.5,1543338.5,-5663967.0,-5222731.0,18639790.0,11618307.0,-49683240.0,22456270.0,18520250.0,42535704.0
8,-5099726.5,-8387033.5,39740528.0,23939112.0,11087533.0,-32062136.0,13125927.0,26482552.0,-15125766.0,54923480.0,-3912552.25,-17831716.0,38858528.0,-22261546.0,-24629880.0,-12367779.0,14058176.0,-10760799.0,41715608.0,27939776.0,63328376.0,240222.5,9927586.0,-32192524.0,26874338.0,-25914432.0,97149872.0,-3535935.0,8387778.0,27240470.0,24784964.0,18612918.0,48077124.0,49412608.0,22767016.0,-15907566.0,8886747.0,-27949380.0,9798612.0,22308588.0,-19241606.0,95032096.0,105716896.0,16028306.0,13984110.0,14208050.0,-53257488.0,11625635.0,74856408.0,-19361230.0,21301324.0,-22483612.0,-17050692.0,-19659018.0,9046307.0,14858114.0,375549088.0,-23484090.0,19166488.0,-6879441.5,27439822.0,-35401316.0,-43205564.0,-805754.0,-378230.65625,-24180540.0,28075320.0,60182020.0,-6886474.5,-15247726.0,13532419.0,2807455.0,3191572.0,5680761.0,32466530.0,15069563.0,-63714768.0,33995772.0,34361664.0,112698920.0
9,-4161027.25,-425880.09375,19414886.0,3140391.0,3280939.0,-2966733.0,8944164.0,-548199.9375,86551.375,4933036.0,-4871248.5,-9162347.0,24487828.0,4764595.0,-2942871.75,2508570.75,5068582.5,-7512551.5,14591672.0,9714193.0,36439152.0,-1930981.0,-1453958.0,-6809968.5,5231614.5,-21898662.0,40612616.0,-5183643.5,1768359.125,5572988.5,-55003.5390625,17227700.0,10921386.0,18639022.0,2786390.25,1882788.625,7265665.0,-4105609.5,478229.28125,12060557.0,-4474982.0,19777970.0,40337344.0,3858934.75,7931980.0,7488353.0,-11588975.0,-4908066.0,28512634.0,-5240912.0,4145035.0,12951421.0,18786476.0,-3044129.75,-411472.375,5470882.0,100792912.0,-16248787.0,10280268.0,-1305358.25,4161138.25,23689386.0,-2170485.75,5145397.5,-2779523.75,-199797.9375,5802776.5,15869988.0,-9551131.0,-17183192.0,9491600.0,481158.625,12610987.0,4582109.5,1661439.875,-156518.28125,2139054.75,13132600.0,26675000.0,48116176.0
