0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-4792468.5,-252352.25,291720.5625,-2782980.25,121473.7890625,670751.5,3634803.25,117182.125,-951191.0625,-97733.984375,274638.71875,12235.689453125,-312221.875,-962790.0625,-1130048.625,1466446.125,-4533554.0,-54597.3984375,1276159.25,-885751.8125,1397601.75,-3656.69970703125,-1058977.75,45223.08984375,1640953.125,267981.65625,1053404.75,1149869.25,-795481.25,-1059786.125,92922.078125,990309.0625,-711356.5625,522978.59375,-1032879.8125,1616322.0,-814200.875,-543227.3125,6300391.5,59778.98046875
1,-1780989.625,-646182.8125,-4702134.0,-3481391.75,-728359.0,-1427320.625,-2860545.75,-1615937.75,-1443554.625,-1753428.25,-1577914.0,-1427699.25,-1219843.25,-1080019.25,127800.0546875,-2630166.0,-1945905.125,-1148742.75,-2283959.75,-317524.9375,-2866036.75,-715452.9375,-642707.0625,-1158648.75,572211.5,-302490.21875,-1152619.5,-1926167.875,-422380.84375,1290793.25,748586.1875,-863393.3125,-878963.5625,-2193511.5,815702.3125,-1709945.75,-331617.75,-678332.6875,-6277988.5,-984638.625
2,-4220620.0,-1235296.0,-247819.6875,-3886399.75,-2391359.75,-737850.0625,2652912.25,234554.890625,-3637060.75,-1583651.875,-723240.1875,-974762.5,-2675329.75,-1644375.0,-2628932.5,1440287.5,-4204234.0,650198.0,2367830.0,-1443275.5,3850463.5,-31263.548828125,-652542.375,423756.59375,-1440468.875,-442368.25,1303029.625,1391029.875,-1721089.5,-3548127.25,-1590470.125,1031156.1875,196714.453125,2513441.5,-2598961.75,1645570.625,-2821158.75,-927131.5625,9263644.0,639680.5625
3,-3963040.25,-415185.875,-132449.9375,-2593938.25,-845886.25,-101248.59375,2060716.875,-110475.0,-1710442.625,-295029.90625,-217730.421875,-421796.78125,-749531.4375,-744329.375,-1243474.5,1100752.0,-3577649.75,-115386.046875,774222.5,-1292245.125,1382909.25,-39821.73828125,-623649.875,213238.421875,462612.84375,354253.6875,323112.03125,659257.4375,-707413.1875,-1255904.75,-582396.9375,554566.6875,-549019.5,-38344.578125,-935908.0,636362.6875,-1219281.625,-663135.75,3214650.5,-175443.90625
4,-2954180.25,159375.84375,-1559619.375,-1496081.125,1072496.875,-457533.0625,622160.125,-999684.5625,-384804.46875,-555073.4375,-40601.34765625,-1122714.0,24906.08984375,-759239.625,2258644.25,-1102407.25,-2872834.5,-650343.25,-404926.5,23297.75390625,-1746592.0,-188762.390625,-1058763.625,-488278.4375,1831624.875,-309896.9375,-265543.0,-551230.3125,-313479.3125,916155.1875,533304.125,-436096.40625,-764754.4375,-2984021.25,651941.375,-111483.3046875,668780.5625,-228708.234375,-2509954.0,-645653.3125
5,-4071805.5,-521421.875,-186423.515625,-3365126.25,-2244693.5,-55656.2421875,1676193.875,34376.5703125,-2109412.5,-855333.5,-1160086.25,-78216.015625,-1984095.0,-1304832.625,-3059388.25,2324775.5,-3779906.0,237003.8125,1612561.125,-2054943.625,3266448.0,-412605.15625,-861499.9375,-523477.09375,-1336496.25,-1076627.5,1455862.875,1801820.375,-1505210.25,-2636116.75,-894719.3125,946897.875,-7299.23828125,942841.3125,-2384529.5,2240394.5,-2091279.0,433376.65625,8500048.0,735089.8125
6,-4117913.75,-842991.125,-5253.05810546875,-2188245.75,-691219.0625,-147361.15625,2743487.75,-876170.625,-1270717.0,-689637.3125,-787036.375,-820980.875,-313939.375,-1685756.875,-1561134.125,227831.796875,-3455666.5,-105312.5625,466656.6875,-1359864.375,1792071.25,271293.53125,-851500.4375,-86505.2890625,2053729.375,534713.375,69957.09375,837738.8125,-1196997.875,-1308718.875,-94913.75,599220.375,-803367.6875,1887324.0,-1168849.5,1010224.4375,-1489558.25,-1103106.0,4844805.5,-425806.125
7,-6159391.5,704592.75,-582868.3125,-2347874.75,453359.53125,511777.75,4042829.5,-1101562.5,-956933.5,-296296.40625,90580.6796875,230604.15625,-348134.75,-791608.75,49940.60546875,1634825.375,-5495618.0,504040.15625,1991060.875,-1047829.375,362920.84375,-332007.875,-1544798.125,-505296.9375,2267833.75,49665.2734375,620499.3125,1023684.25,-1168105.875,-959994.0625,275468.1875,1166617.0,-1440547.5,-1860528.625,-1065144.125,1687189.75,-381704.5,-373165.8125,4084157.5,248454.546875
8,-4119241.5,-1362059.125,363889.0625,-4265505.0,-1672999.75,-576947.625,1543746.0,-426314.0,-2886915.0,-995036.3125,-1350957.375,-1040205.0625,-364843.3125,-1613194.375,-3074509.5,-223818.34375,-4070021.0,-98636.3125,554132.1875,-1353705.75,1691358.625,-49938.5859375,-738153.25,-179248.796875,461681.90625,752682.0,-148114.234375,929255.5,-1706304.75,-1833192.5,-636426.25,904261.9375,-1240483.375,3479085.75,-1619613.75,210794.875,-2296984.0,-1755247.0,4826490.0,-692963.1875
9,-3185670.0,-1037997.6875,-979639.3125,-4731820.0,-1661599.375,-1095901.875,246371.5625,-902103.4375,-2426970.25,-1714423.125,-893542.6875,-1810929.75,-1516400.25,-1366194.625,-1369290.75,-518286.53125,-3579397.75,-671839.9375,-95738.078125,-843483.8125,705044.25,-191033.953125,-891323.9375,-306779.8125,-332242.6875,-257579.96875,77943.203125,-100657.46875,-996972.1875,-1053197.125,-256825.5,158637.953125,-271122.5625,460196.65625,-744804.4375,-152937.984375,-1534639.875,-677176.0625,1198179.0,-631146.1875
10,-2744235.25,440258.96875,96241.078125,-149066.21875,604430.8125,239759.78125,2806913.0,-254767.78125,-387391.28125,66911.9140625,366909.0,-339502.90625,1304264.0,-1247542.25,-244130.203125,617768.875,-2692952.75,237535.796875,1089261.875,-1191657.25,172733.765625,354163.1875,-832519.0625,170174.546875,3619073.25,845610.0625,-812326.625,579590.9375,-1105658.25,-71521.234375,703419.0625,1188960.125,-1482929.375,787625.3125,-120410.75,654405.6875,537503.125,-1076291.375,2707976.5,-647538.0
11,-4451901.0,-871026.4375,-779642.625,-4895091.0,-2032309.875,-517484.90625,-325158.53125,244774.0,-2860450.0,-1348722.125,-993252.9375,-734526.6875,-2400471.75,-1331771.625,-1419462.625,71133.2265625,-7120253.0,-236031.328125,763561.625,-1306683.0,1089300.5,-898555.0,-976608.5,-603147.8125,-1939267.5,-1317904.125,466027.71875,206436.125,-1046257.5625,-1762089.125,-709320.0625,630795.125,-146483.6875,212912.796875,-1308031.25,691897.0625,-1595080.375,8818.001953125,3516488.5,117092.3671875
12,-3729931.0,-392806.84375,-719486.625,-2876103.5,-658333.375,-646501.375,1072781.0,-1232003.75,-1576709.875,-1112582.875,-698739.875,-792767.1875,-1264723.5,-1151166.25,-788617.6875,-439687.75,-4528788.5,-435377.71875,-369626.3125,-765221.25,259842.75,-186822.0,-713359.8125,-212717.03125,299352.59375,-146061.375,-269862.59375,109066.46875,-560418.3125,-566999.1875,228203.828125,-90076.1171875,-780919.4375,-552418.0625,-678129.75,338655.46875,-1098810.625,-534200.25,910508.9375,-556164.5
13,-4513135.5,-149446.140625,-1205843.5,-3392668.0,-1075139.375,-915441.375,-516311.375,-694534.5,-1771742.5,-3378430.75,-1048540.5625,-797499.6875,-1709701.625,-1098442.25,229936.21875,-1060798.25,-4521567.5,-453719.3125,-479264.71875,-872049.3125,-1600141.5,-1077600.0,-1303408.0,-966959.25,-304816.75,-1104529.375,-167352.6875,-608603.9375,-692586.4375,-127182.2109375,-224000.40625,273503.71875,-695408.3125,-2075968.75,-242789.078125,-426855.84375,-598986.875,-449911.40625,-1709845.75,-747033.6875
