0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,-244196.625,-230940.953125,-24781.314453125,-109439.546875,2110.33056640625,-211067.5625,-107243.1875,-353225.875,-300558.9375,143140.4375,-27861.0,-171115.875,-523705.5625,-42142.09375,-290060.40625,70702.453125,-530249.75,-253452.75,-239130.84375,186740.640625,-85522.265625,3783962.25,88026.4375,-85438.0546875,29821.5859375,-267049.96875,-205600.859375,-150075.53125,-145296.28125,-360861.25,72732.96875,159289.0625,-102909.3359375,55522.109375,28536.455078125,18565.5859375,-165377.53125,-136811.953125,-138937.125,-95124.1015625,-182551.15625,-155375.703125,126135.9921875,-78127.921875,-7090.9375,-33593.078125,-226844.953125,-132139.453125,-248767.828125,-128931.421875,-384047.0625,-36613.5625,153103.734375,-253774.390625,-252040.6875,-34744.515625,25412.97265625,75724.4609375,-257246.578125,62300.40625,-75495.625,-202949.578125,198287.5625,-126860.6171875,-98918.390625,-206675.8125,175799.53125,-69067.6328125,20568.818359375,-186341.640625,27796.875,-79995.9609375,-58089.47265625,-14696.0810546875,-175411.375,-219688.296875,13790.21484375,60104.24609375,-178685.109375,-288640.71875
1,-234367.5625,-162597.28125,-438303.46875,-559951.375,99089.109375,-183085.078125,-457835.40625,-369152.125,65641.4765625,-424898.875,-250410.84375,-227400.734375,77969.4453125,-26998.95703125,-68965.7265625,-328523.125,-408435.4375,-128462.8984375,-135320.5,-150426.015625,-113555.09375,2869788.0,10751.5029296875,-41555.6875,-92729.4609375,-56675.015625,-55838.0703125,32727.17578125,-84515.875,-113250.9375,-39808.82421875,160488.234375,112734.2734375,-147591.9375,47373.04296875,75193.3828125,-67830.234375,186952.578125,-205047.671875,-48931.77734375,65896.3515625,-113430.5390625,263407.1875,-18101.25,-79072.78125,-110780.734375,60957.984375,-72907.484375,-381870.96875,-176525.90625,-50363.765625,87032.3203125,40360.265625,-229654.359375,-212797.84375,41184.28125,86995.96875,49605.49609375,-131639.671875,-25775.560546875,-91321.140625,-146479.3125,42952.1875,-248365.265625,-69426.4609375,-238276.078125,-43871.23046875,-26259.373046875,122399.28125,10631.169921875,56240.09375,304382.1875,135291.40625,102160.1796875,85265.6171875,-63061.65625,11041.263671875,-50718.5546875,-102972.8984375,-142769.0625
2,29132.1953125,520507.09375,14788.4599609375,209302.65625,500317.0,572661.125,2882.047607421875,696150.375,-24289.9140625,673302.0625,573260.9375,173620.03125,494897.90625,345436.8125,420814.03125,1110426.75,-148773.484375,561908.1875,1258201.125,71789.25,353425.875,-1771970.75,-141591.890625,-267365.21875,-171460.65625,194720.59375,806893.0,185821.453125,271426.875,-114291.7890625,209961.53125,102968.4375,-81313.546875,60130.8671875,46094.1796875,534742.625,-153199.4375,574335.375,-71894.25,556877.0,-215624.90625,84456.390625,117800.0078125,154837.546875,169444.53125,84628.3046875,674243.625,72910.0390625,386450.3125,157060.8125,111281.546875,763818.8125,377535.8125,400943.34375,184716.671875,175175.796875,680239.75,-32377.75390625,196916.796875,641620.5625,-244839.40625,1116487.625,-577636.5625,24035.873046875,-422496.9375,-198328.125,-143362.921875,25429.19921875,19681.595703125,79479.078125,80629.5,530535.125,-77111.015625,367792.34375,-168337.796875,-252829.4375,209958.203125,522562.40625,333573.1875,486599.9375
3,-124823.5546875,529252.9375,34555.3046875,362848.8125,-64441.8671875,114619.4609375,53330.46484375,207484.765625,-258708.34375,190395.4375,105373.96875,-88426.0546875,-107146.3046875,28583.193359375,70977.5078125,556765.0625,-11608.0341796875,227592.734375,469364.8125,46859.04296875,-25123.32421875,-101982.0859375,34514.10546875,-240329.625,-56103.34765625,176479.921875,253232.609375,112644.34375,223707.890625,-72033.7578125,205188.140625,75986.6328125,50288.3203125,184316.265625,83818.2890625,330224.21875,-272606.28125,278073.3125,35556.94140625,114847.4765625,-29252.65234375,6049.4853515625,31820.1640625,95395.8359375,47932.1796875,42640.6015625,364028.8125,126510.8046875,298659.0,49874.83984375,-108611.875,422936.65625,145923.546875,167138.53125,24637.625,-7591.662109375,166193.484375,44435.1484375,119634.96875,229021.46875,-14467.294921875,508658.1875,-181082.828125,108318.2421875,-211763.3125,106094.4609375,207107.984375,88253.84375,65309.07421875,-42313.25390625,-21407.048828125,140392.875,10263.4765625,-36306.9140625,-90087.3828125,-117308.1015625,116801.078125,211884.765625,66468.875,310830.25
4,-305245.8125,179375.453125,183878.046875,-4970.419921875,-35894.5078125,126975.953125,191224.1875,-231003.0,-43888.01171875,361902.0,133182.140625,-87675.25,-380350.09375,-72985.578125,107999.046875,681254.25,-491417.75,93783.6953125,288450.125,36207.1015625,-164079.65625,957114.4375,231081.78125,-160011.09375,-129126.0,-37203.5625,168992.1875,43189.5,-127183.7421875,-243038.34375,211846.5625,177395.5,-10540.451171875,56049.0546875,4495.35107421875,59183.55859375,-311092.6875,304500.3125,143763.046875,105515.0625,-216845.125,-102580.75,88636.8046875,60229.4609375,-73652.640625,-78628.4765625,235623.078125,-56201.18359375,-9190.498046875,18602.6953125,-194344.75,134502.515625,89296.6171875,-65215.26953125,-226971.859375,75551.203125,98641.46875,41677.51171875,-113908.71875,200552.640625,-211986.609375,244170.328125,61835.546875,-31063.224609375,-132330.25,-101892.578125,171622.4375,-9077.0263671875,134566.0625,-63692.3203125,-56552.734375,-45446.4453125,22836.740234375,25384.97265625,9243.927734375,-263707.8125,36734.96875,208455.546875,-52534.75390625,98251.4375
5,-531892.5625,186441.15625,68972.78125,76974.609375,202674.203125,103729.828125,131396.796875,43122.17578125,-211947.203125,294063.5,-96739.7734375,-196722.71875,-258505.6875,-209093.703125,78599.3671875,533605.125,-533070.75,82915.796875,395146.625,-278965.78125,-117113.5546875,2038499.375,61587.56640625,-249346.421875,-249653.984375,83401.921875,166856.6875,11911.3935546875,-23917.916015625,-270100.875,134552.265625,99757.0390625,-49182.2578125,37692.77734375,-28610.30859375,143249.25,-372092.71875,396941.4375,302171.53125,171567.9375,-21025.2890625,-86203.59375,14744.0654296875,60385.25,53462.3046875,22753.400390625,248989.671875,-48737.80859375,218382.734375,272125.875,-195518.859375,476252.96875,67257.4765625,42813.94140625,-58503.484375,81397.21875,215138.5,39105.1328125,45955.515625,371083.84375,-25151.2578125,585120.0625,-210166.828125,47591.12890625,-138041.75,-102340.8203125,-71240.6171875,71488.71875,273510.1875,2345.2490234375,22495.31640625,285848.375,-28513.42578125,-78742.0,-158217.640625,-244734.375,140707.046875,178434.171875,-16598.26171875,139196.453125
6,-610458.9375,-38231.4765625,-93973.625,-451047.5625,36506.7421875,-48581.66796875,-123544.0,52967.15625,-568684.625,214699.96875,-260216.671875,-166624.40625,-243783.4375,-115360.046875,-196380.796875,97061.640625,-807763.8125,-282602.40625,-140240.453125,-331535.15625,-55670.0546875,1027036.5625,84450.9921875,5309.2060546875,-151067.640625,77157.71875,41329.37890625,22421.78515625,-121149.25,-113627.1015625,233999.09375,-18806.2734375,155406.578125,-42605.25,90511.7265625,-68845.3671875,-108448.765625,314346.15625,44045.375,193135.875,8870.220703125,-43991.97265625,49500.67578125,39481.703125,46102.65625,-77447.03125,85528.9609375,13051.98046875,-59162.10546875,240889.75,-182149.609375,153775.640625,-65526.47265625,-184153.46875,27824.31640625,50240.78515625,30028.552734375,29720.955078125,-29732.9375,-2968.3291015625,-7207.15380859375,177391.265625,18155.71484375,43586.796875,-78922.9140625,86593.4609375,-138103.71875,-167833.03125,94433.65625,147281.328125,3898.67578125,78731.6875,-58976.74609375,244150.296875,61130.92578125,-88975.9609375,59967.65625,46347.92578125,-125972.0390625,76067.0625
7,-471760.3125,586368.375,305387.15625,245705.15625,257300.9375,117541.7734375,81551.515625,-153068.046875,-677237.4375,395171.8125,-23600.328125,63402.2421875,-449085.90625,-53397.62890625,1908.90625,683814.5625,-629674.0625,113393.203125,255071.625,272134.59375,-245099.546875,7848366.5,326208.9375,-144460.546875,-50404.24609375,41879.609375,121857.6640625,117592.4296875,-50067.69921875,-357480.03125,399420.8125,121980.28125,8818.3681640625,237383.609375,12008.171875,85424.7109375,-435981.375,309309.75,-68010.6015625,207129.75,-253278.171875,-96716.8515625,42994.76953125,-48902.36328125,-195312.203125,-82082.6484375,95029.609375,-93553.46875,14808.130859375,89352.6015625,-328379.34375,153213.125,76366.984375,-104694.6875,-409617.65625,-91442.796875,24737.4921875,48582.37890625,-10927.478515625,1902.51611328125,-88688.578125,352153.4375,227721.796875,63248.390625,-23018.330078125,-588.43408203125,317004.53125,-58866.109375,-52794.24609375,-514937.03125,-85408.1015625,-29933.5703125,-29399.763671875,-47305.6328125,22434.794921875,-307266.84375,79062.53125,93451.0390625,-91755.828125,229422.3125
8,-552228.875,720877.375,552955.1875,500985.90625,288399.65625,243812.75,249309.015625,468232.1875,-630586.9375,1067598.5,113466.0,89234.1640625,-461105.03125,-99256.328125,19230.26171875,1152984.0,-592884.75,334505.75,1030861.25,51686.69921875,-426164.03125,2575343.75,326066.0625,-364762.4375,-249321.171875,46303.23046875,244971.5625,70505.4140625,-109161.1484375,-306628.1875,352363.59375,-164029.40625,13634.93359375,318297.34375,-92659.9453125,253442.90625,-809365.5,279581.5625,443600.6875,229474.59375,93565.359375,-123319.40625,-258502.734375,153705.5625,82465.8984375,212072.96875,192425.8125,-169137.828125,241435.390625,570226.0625,-486161.5625,557668.25,161882.875,-101219.25,46413.046875,-225211.5,54573.875,94553.1015625,35736.87109375,310361.3125,99105.9921875,521648.09375,4021.46728515625,137014.859375,-126237.9453125,317778.0,66762.5390625,10557.19921875,100767.6640625,30444.189453125,83984.6640625,86878.71875,-9336.3232421875,-172416.1875,-206835.65625,-585741.625,232938.1875,245480.0,238691.671875,194727.046875
9,-259671.40625,201300.5,-18398.953125,-47999.9375,228897.125,165503.21875,77910.8828125,17563.962890625,4056.313232421875,-22408.640625,33653.29296875,-214378.703125,-176618.953125,-105646.1796875,44981.9921875,377015.75,-261080.5,47534.2421875,379667.03125,-258904.1875,24034.138671875,512505.625,-54155.6171875,-262403.8125,-160789.234375,89476.0,164162.953125,57914.98046875,41854.3125,-244369.484375,33656.921875,129804.671875,-29790.921875,-1070.83642578125,-16352.5068359375,165731.8125,-193688.984375,274493.75,276992.78125,144141.453125,-110889.703125,-93937.171875,19594.970703125,47212.19921875,66788.71875,68790.2265625,111126.4375,20291.3984375,139009.96875,125995.8046875,-108989.453125,316407.40625,41166.12109375,91979.1953125,24702.755859375,78573.2109375,183939.4375,-34451.32421875,139055.59375,301963.375,-123545.59375,619497.1875,-128607.2109375,83222.609375,-124092.578125,-39522.234375,-29277.62109375,103735.140625,110996.7265625,85163.15625,331.158203125,225056.078125,-52291.77734375,57051.62890625,36991.453125,-119965.7890625,66176.7734375,209112.796875,71273.0625,248429.78125
